D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,hours,rank
1:0,2:2,1:0,7:3,0:0,0:0,1:2,2:4,0:0,0:2,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 3 Hours Ago,4173
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,23:9,0:0,0:0,Updated : 333 Hours Ago,4173
4:1,1:1,2:0,1:0,3:1,4:3,0:0,1:1,0:0,0:0,0:0,0:0,1:0,0:0,0:1,0:0,0:0,3:5,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 44 Hours Ago,4173
1:1,0:1,2:8,0:2,0:1,11:6,0:1,0:0,2:2,0:0,0:0,0:0,0:1,0:0,0:0,1:1,0:0,0:0,3:5,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4173
14:5,4:1,0:0,3:4,8:7,1:0,1:0,1:2,0:0,0:0,0:0,2:1,0:2,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 3 Hours Ago,4173
4:1,1:0,2:5,1:1,2:1,12:6,1:1,3:4,1:4,0:1,0:0,2:1,1:2,0:1,0:0,1:2,0:0,0:1,1:2,0:0,0:0,0:2,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4173
10:5,10:7,1:4,1:2,4:2,1:3,0:1,2:1,2:2,0:0,0:0,1:0,2:1,1:0,0:0,0:2,0:0,2:1,3:3,0:0,0:0,3:1,0:0,0:0,0:0,0:0,Updated : 19 Hours Ago,4173
3:2,2:1,2:6,1:0,2:0,7:2,1:1,7:2,0:0,16:12,0:0,0:0,1:2,0:0,0:1,1:0,0:3,1:2,1:0,0:0,1:0,0:0,0:1,0:0,0:0,0:0,Updated : 7 Hours Ago,4173
1:1,0:0,4:1,0:0,0:0,58:16,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,4173
3:2,2:3,1:1,2:1,4:3,0:0,8:6,1:1,1:1,6:4,1:1,1:1,5:4,0:0,0:0,1:0,2:0,18:10,0:0,0:0,1:1,0:0,0:0,1:1,2:1,0:0,Updated : 15 Hours Ago,4173
5:6,0:1,27:22,1:1,1:0,0:2,1:1,0:1,37:29,0:0,0:0,1:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:3,0:1,0:0,0:0,0:0,Updated : 16 Hours Ago,4173
4:7,0:1,18:17,4:11,2:0,3:5,0:0,0:0,8:11,0:1,1:0,3:2,2:1,0:0,0:0,4:6,0:1,0:1,3:4,0:0,0:1,17:19,0:0,0:0,0:0,0:0,Updated : 104 Hours Ago,4173
2:2,0:0,1:0,4:2,1:0,1:0,0:0,0:1,6:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,Updated : 14 Hours Ago,4172
0:0,0:0,0:0,0:0,0:0,13:10,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4172
0:1,5:3,2:1,2:1,1:0,0:0,1:3,1:1,0:1,1:1,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4172
0:2,0:0,0:0,0:0,3:1,0:0,0:0,0:0,10:0,0:0,0:0,0:0,10:3,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 343 Hours Ago,4172
0:0,0:0,15:11,0:0,1:1,2:1,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4172
2:2,3:2,12:8,1:1,1:0,1:1,0:0,1:1,4:7,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:1,0:1,1:2,0:1,1:1,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,4172
15:13,0:2,18:17,0:1,0:2,7:12,0:0,0:0,8:6,0:0,1:0,0:1,1:1,0:0,0:0,0:0,0:0,0:0,1:0,0:1,0:0,2:1,0:0,0:0,0:0,0:0,Updated : 10 Hours Ago,4172
0:0,0:0,4:1,0:0,0:0,1:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4171
0:0,0:0,1:0,0:0,0:0,1:2,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:1,1:0,0:0,1:1,0:0,0:0,0:0,0:0,Updated : 4 Hours Ago,4171
0:1,0:0,1:1,0:0,1:0,1:1,0:0,0:1,7:3,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 30 Hours Ago,4171
1:1,0:1,0:1,0:0,1:1,0:0,2:4,0:0,0:0,0:0,3:1,0:0,0:0,2:1,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 117 Hours Ago,4171
0:0,0:2,3:2,0:0,0:0,3:2,0:0,0:0,4:2,0:0,0:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,2:1,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4171
3:1,8:7,5:1,0:1,2:0,0:1,0:1,0:1,2:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4171
6:5,0:0,4:0,2:5,1:1,4:1,0:1,0:0,1:0,0:0,0:0,4:3,0:1,0:0,0:0,0:1,0:0,0:0,4:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4171
11:7,0:1,5:6,6:9,0:0,0:0,4:4,0:1,2:0,0:0,1:2,0:0,1:0,0:0,0:0,2:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4171
1:3,0:0,1:3,0:4,0:0,10:10,0:0,0:0,0:1,1:2,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,18:14,0:0,0:0,0:2,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4171
0:0,0:0,4:8,0:0,0:0,71:64,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:1,0:0,0:0,Updated : 5 Hours Ago,4171
3:0,0:2,1:1,1:4,0:1,1:1,0:4,0:1,0:2,81:64,1:1,0:1,1:2,1:1,1:1,0:1,1:3,1:2,1:0,0:0,0:0,0:0,0:5,0:1,1:0,1:1,Updated : 48 Hours Ago,4171
5:6,1:3,3:1,10:7,12:9,12:8,4:7,8:4,13:27,5:3,3:4,1:2,5:2,0:0,0:1,8:3,1:11,1:0,13:8,0:0,1:0,4:5,1:1,1:2,1:1,0:1,Updated : 13 Hours Ago,4171
4:4,1:3,59:68,1:2,1:0,20:21,0:0,0:0,35:42,0:0,0:0,1:0,0:2,0:0,0:0,9:11,0:1,0:0,2:6,0:0,1:0,17:11,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4171
0:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,Updated : 17 Hours Ago,4170
0:0,0:1,0:0,2:0,0:0,0:0,3:2,1:2,1:0,0:0,0:0,0:0,6:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 94 Hours Ago,4170
2:1,2:1,1:2,0:0,0:1,1:1,1:0,0:1,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4170
1:0,0:0,0:1,13:4,1:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4:0,0:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 38 Hours Ago,4170
0:0,2:1,0:1,0:0,0:0,0:0,11:3,0:0,0:1,0:0,9:5,0:0,6:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 17 Hours Ago,4170
0:0,0:0,0:1,0:1,0:0,37:22,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:3,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,4170
4:2,0:1,4:2,3:5,1:0,2:0,1:1,3:3,2:2,0:0,0:0,0:1,0:1,0:0,0:0,1:1,0:0,0:0,19:10,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 41 Hours Ago,4170
2:2,1:0,4:4,2:1,0:1,2:2,0:2,17:12,1:2,0:1,0:1,1:0,0:1,0:0,0:0,2:0,0:0,1:0,5:1,0:1,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4170
0:3,17:15,2:0,1:1,1:1,1:2,15:10,5:0,0:0,1:2,5:10,0:0,0:1,1:0,0:0,0:0,1:0,0:1,0:0,0:0,0:0,0:0,5:8,0:0,0:0,0:0,Updated : 12 Hours Ago,4170
21:10,1:1,0:0,13:15,19:17,0:2,0:1,0:0,0:4,2:4,0:0,0:3,22:20,0:0,5:5,4:7,0:0,0:2,12:12,0:1,0:1,1:0,0:0,0:0,0:1,0:0,Updated : 17 Hours Ago,4170
111:96,0:0,1:0,1:1,1:1,0:1,1:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 26 Hours Ago,4170
1:0,0:0,0:1,1:0,0:0,1:0,0:0,0:0,2:1,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,3:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4169
0:3,2:0,1:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,1:1,0:0,0:0,7:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 94 Hours Ago,4169
2:2,2:2,2:0,0:0,1:0,0:0,5:6,1:1,1:0,0:0,2:1,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4169
1:0,0:1,2:1,11:7,1:1,2:0,0:1,1:1,1:1,0:3,0:0,1:0,0:0,0:0,0:0,0:1,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,Updated : 15 Hours Ago,4169
0:1,0:1,16:6,1:1,0:1,2:6,0:1,0:0,1:1,0:0,0:0,1:0,0:0,0:0,0:0,2:0,0:0,0:0,5:1,0:0,2:0,0:0,0:0,0:0,0:0,0:0,Updated : 101 Hours Ago,4169
1:0,4:4,0:0,1:2,2:1,0:2,6:8,2:2,0:2,2:1,2:0,0:0,6:4,0:0,0:2,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 16 Hours Ago,4169
22:16,0:0,1:2,2:7,1:1,0:0,0:2,0:0,0:0,0:0,0:0,1:0,0:1,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,1:1,0:1,0:0,0:0,0:0,Updated : 24 Hours Ago,4169
0:0,28:11,0:1,0:0,0:0,0:0,3:7,2:1,1:2,0:0,5:2,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 87 Hours Ago,4169
0:0,8:10,0:0,1:1,0:0,0:0,4:3,21:31,0:1,1:2,3:3,0:0,0:0,2:0,1:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,5:4,0:0,0:0,0:0,Updated : 15 Hours Ago,4169
8:8,3:4,2:4,3:3,4:2,4:3,1:2,4:1,3:3,2:0,2:1,3:1,2:1,0:1,1:0,2:3,0:0,1:0,2:3,5:2,0:0,1:3,0:1,0:1,0:1,0:0,Updated : 14 Hours Ago,4169
1:1,9:6,5:4,2:3,1:1,1:0,6:3,12:15,4:4,2:1,0:0,0:0,5:5,0:1,0:0,0:1,0:0,3:2,2:2,0:0,2:0,1:1,0:1,0:0,0:0,0:0,Updated : 15 Hours Ago,4169
8:10,0:1,1:0,24:22,4:5,3:4,3:4,4:6,3:2,0:4,0:0,2:2,0:0,0:1,0:2,5:3,0:1,0:0,17:18,0:0,0:0,0:2,0:4,0:0,1:0,0:0,Updated : 87 Hours Ago,4169
0:0,68:70,0:0,5:4,0:0,0:1,18:21,9:9,0:0,0:0,3:9,0:0,8:4,0:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,Updated : 37 Hours Ago,4169
9:8,27:31,23:17,3:3,2:4,4:9,4:4,14:19,9:7,0:0,2:2,0:1,0:2,0:0,0:0,0:0,0:0,0:1,23:12,0:0,2:1,0:0,0:0,0:0,0:0,0:0,Updated : 67 Hours Ago,4169
4:5,0:0,44:30,12:12,1:0,52:43,0:1,0:2,16:16,0:2,1:4,3:3,1:3,0:0,0:0,1:1,0:1,0:0,5:5,0:0,0:0,7:8,3:7,7:4,0:0,0:0,Updated : 60 Hours Ago,4169
0:1,0:0,0:0,0:1,1:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,3:2,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 17 Hours Ago,4168
0:0,0:0,0:0,1:1,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,7:2,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,4168
0:0,0:0,0:0,0:0,0:0,11:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 134 Hours Ago,4168
5:0,1:2,0:0,2:0,1:0,0:0,3:1,3:1,0:1,0:0,1:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:2,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4168
0:0,0:0,0:0,5:2,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,8:3,0:0,0:0,2:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 4 Hours Ago,4168
0:0,0:0,3:1,0:0,0:0,12:10,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4168
1:1,0:1,0:0,0:0,0:1,0:0,3:1,0:0,0:0,0:0,1:0,1:0,1:1,0:0,0:0,1:1,0:0,9:3,1:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,Updated : 25 Hours Ago,4168
0:0,0:0,1:3,0:0,0:0,20:14,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,4168
3:2,1:0,0:0,1:1,3:1,1:0,5:4,3:3,0:1,3:0,2:1,2:0,1:0,0:0,0:0,0:1,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4168
0:1,2:4,2:0,2:0,0:0,0:0,5:2,4:5,1:1,0:1,0:1,0:1,0:1,0:0,0:0,0:1,0:1,1:0,0:1,0:0,0:0,0:0,3:5,0:0,0:0,0:0,Updated : 14 Hours Ago,4168
8:8,3:3,1:0,5:2,2:1,2:2,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,2:0,3:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4168
0:1,12:7,0:0,0:1,0:2,2:3,4:2,2:1,1:2,0:0,3:2,0:1,1:0,0:0,0:0,0:2,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,1:0,0:0,Updated : 15 Hours Ago,4168
1:2,0:1,2:2,1:0,0:2,2:2,0:0,16:11,1:0,0:1,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,5:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 130 Hours Ago,4168
0:0,0:1,0:1,0:1,0:0,0:0,14:8,3:3,0:0,4:5,0:1,0:0,1:1,2:1,1:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,4:3,0:0,0:0,0:0,Updated : 13 Hours Ago,4168
3:3,0:0,1:2,2:0,0:1,1:0,0:0,0:1,0:0,0:0,0:0,1:0,2:2,0:0,0:0,1:1,0:0,19:15,3:0,0:0,0:0,1:0,0:0,0:1,0:0,0:0,Updated : 16 Hours Ago,4168
2:4,0:1,4:2,3:4,1:0,7:6,0:0,2:1,0:0,1:2,0:0,0:1,0:1,0:0,0:0,1:2,0:0,1:1,6:9,0:0,1:0,0:0,0:1,0:0,0:0,0:0,Updated : 125 Hours Ago,4168
10:7,0:0,3:2,0:0,0:1,7:3,0:1,0:0,1:6,3:2,0:0,1:1,1:3,0:0,0:0,4:0,0:0,0:0,4:4,0:0,0:1,2:1,1:2,0:0,0:0,0:1,Updated : 114 Hours Ago,4168
13:6,0:0,0:1,3:4,2:3,0:1,4:6,0:2,0:0,2:0,0:1,1:1,4:4,1:1,0:0,4:3,0:0,0:0,2:3,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 258 Hours Ago,4168
0:0,12:9,0:0,0:1,2:1,0:0,5:5,11:3,1:0,1:0,20:15,0:0,2:0,0:2,0:0,0:0,0:0,1:1,1:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,Updated : 25 Hours Ago,4168
16:13,0:1,8:6,9:4,1:2,7:7,0:1,1:1,0:2,1:1,0:1,2:2,0:0,0:0,0:0,1:0,0:0,0:0,5:6,0:1,0:0,0:1,0:1,0:0,0:0,0:0,Updated : 16 Hours Ago,4168
3:4,5:4,3:3,8:3,0:0,3:2,17:17,6:9,2:1,1:1,11:11,0:1,6:8,0:0,0:0,0:0,0:0,2:0,1:0,0:0,0:0,2:4,0:0,0:0,0:0,0:0,Updated : 17 Hours Ago,4168
1:1,0:1,0:0,1:0,0:0,0:0,2:1,2:0,0:0,0:0,0:0,1:0,0:1,0:0,0:1,0:0,0:1,0:0,1:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4167
2:0,0:1,2:2,0:1,0:0,3:8,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,Updated : 69 Hours Ago,4167
0:2,4:6,1:2,3:0,1:0,2:0,2:1,4:1,1:2,0:2,1:2,0:1,0:1,0:0,0:0,0:0,0:0,4:0,1:0,0:0,0:0,1:2,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4167
3:4,4:4,1:3,6:5,3:1,1:0,10:10,23:24,2:1,1:1,1:1,5:5,3:5,1:2,0:0,0:3,0:1,1:2,1:2,2:3,1:0,0:1,0:0,0:0,0:1,0:0,Updated : 15 Hours Ago,4167
3:1,31:21,8:2,1:2,1:1,7:2,7:6,2:2,6:6,1:0,7:3,0:0,9:3,0:0,0:0,0:1,1:1,0:1,2:2,0:0,0:1,0:1,1:1,1:0,1:1,0:0,Updated : 74 Hours Ago,4167
10:4,33:27,0:5,4:5,3:6,5:7,5:4,4:5,0:2,2:2,4:4,1:0,3:3,0:0,0:1,0:1,0:0,2:1,1:2,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 13 Hours Ago,4167
0:0,0:0,4:4,0:0,0:1,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4166
7:3,0:0,0:1,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,1:0,0:0,0:0,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 121 Hours Ago,4166
1:0,3:4,0:0,1:0,0:0,0:0,2:1,1:5,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,Updated : 20 Hours Ago,4166
0:0,0:0,11:4,0:1,1:0,0:0,4:3,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,0:1,0:0,0:0,0:0,Updated : 14 Hours Ago,4166
5:0,0:0,5:3,0:1,0:1,3:1,0:0,0:0,2:7,0:0,0:0,1:0,0:1,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 32 Hours Ago,4166
0:0,0:1,1:1,0:0,0:0,4:3,0:0,0:0,1:0,0:1,0:0,0:1,1:0,0:0,0:0,0:2,0:0,0:0,3:2,0:1,0:0,0:0,0:0,11:9,0:0,0:0,Updated : 11 Hours Ago,4166
1:0,5:3,2:3,0:0,0:1,0:0,4:2,4:4,1:3,1:1,9:4,0:0,0:1,0:0,0:0,0:0,0:1,2:1,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,Updated : 49 Hours Ago,4166
10:7,1:0,10:11,1:1,0:1,3:4,0:0,0:0,2:1,0:0,0:0,1:1,0:0,0:0,0:0,1:2,0:0,0:0,1:3,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 157 Hours Ago,4166
0:0,0:0,0:0,1:1,5:9,0:0,15:22,0:2,1:0,0:1,1:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4166
0:2,1:1,39:28,1:1,0:0,5:5,0:0,0:1,8:7,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:2,5:3,0:1,0:1,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4166
10:8,1:3,10:14,4:6,1:1,7:9,0:2,2:5,0:1,0:1,1:4,3:4,0:1,0:0,0:0,4:2,0:0,0:1,26:21,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4166
2:4,9:13,2:5,3:5,16:11,2:1,17:23,68:41,11:10,4:3,4:9,2:1,4:2,0:1,1:1,6:6,2:1,4:5,9:15,0:0,0:0,1:0,1:1,0:1,1:1,0:0,Updated : 15 Hours Ago,4166
88:104,1:3,7:5,13:14,3:11,9:9,2:4,0:1,9:5,1:4,0:0,5:9,0:3,0:0,0:0,1:2,0:0,0:1,19:17,6:7,1:0,2:0,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,4166
2:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4:0,0:0,0:0,3:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4165
0:0,0:0,0:0,0:0,0:0,0:0,1:0,7:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4165
0:0,0:5,0:0,1:1,0:0,0:0,3:4,1:1,0:0,1:0,0:2,0:0,1:3,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 26 Hours Ago,4165
2:0,0:0,9:9,0:0,0:0,1:1,0:0,0:0,2:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4165
1:1,6:3,1:1,0:1,3:2,0:0,0:1,0:2,0:1,2:0,0:1,1:1,1:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 31 Hours Ago,4165
0:0,3:2,1:0,1:0,0:0,1:0,6:2,0:0,2:2,0:0,10:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 3 Hours Ago,4165
9:4,8:3,0:0,1:1,2:1,0:0,2:2,1:1,0:0,1:0,0:0,0:0,1:2,0:0,0:0,0:0,0:1,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4165
0:0,9:5,0:0,0:0,0:0,0:0,10:9,3:8,0:0,0:0,0:0,0:0,1:1,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4165
6:7,8:2,2:1,3:1,1:0,4:0,1:2,3:2,1:0,0:1,1:1,0:0,0:1,0:0,0:0,1:0,0:0,1:1,0:3,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 4 Min. Ago,4165
13:5,0:2,1:2,0:1,2:2,0:0,1:0,1:1,6:6,0:1,0:1,0:0,2:1,0:0,0:0,0:2,0:0,0:0,7:7,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 155 Hours Ago,4165
1:0,0:0,12:18,0:0,0:0,8:11,0:0,0:0,6:12,0:0,0:0,1:0,2:1,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,Updated : 4 Hours Ago,4165
5:4,3:5,4:4,3:2,0:2,0:1,9:4,5:8,2:0,0:1,3:2,2:1,2:1,0:2,0:0,3:1,0:0,0:0,2:3,0:0,1:1,0:0,0:1,0:1,1:0,0:0,Updated : 122 Hours Ago,4165
0:1,0:0,0:3,0:0,0:0,48:42,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 312 Hours Ago,4165
2:2,0:0,31:26,0:0,0:0,13:10,0:0,0:0,1:3,0:0,0:0,0:1,0:0,0:0,0:0,1:0,0:0,0:0,0:5,0:0,0:0,0:2,0:0,0:0,0:0,0:0,Updated : 9 Hours Ago,4165
1:4,0:1,5:7,5:4,1:0,3:0,0:0,0:1,3:2,3:2,0:1,2:2,1:0,1:0,2:0,6:7,1:0,24:12,5:4,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 4 Hours Ago,4165
0:0,3:5,17:12,6:7,4:2,0:0,17:13,0:0,0:1,0:0,2:5,4:1,5:7,0:0,0:0,3:2,0:0,0:1,2:2,0:1,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 18 Hours Ago,4165
