D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,rank
0:0,0:0,2:0,0:0,3:2,1:1,1:2,0:2,4:6,0:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:1,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3989
0:0,0:1,3:2,0:2,5:2,0:0,0:1,4:4,2:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3989
3:2,2:3,3:5,1:3,2:0,1:1,0:1,0:4,1:1,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,1:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3989
2:0,0:0,1:0,0:1,18:7,0:0,0:3,1:1,1:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3989
2:1,0:0,0:0,0:2,4:4,1:1,1:1,1:0,9:5,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,1:1,0:2,0:0,0:0,3:0,0:0,0:0,0:0,0:0,3989
0:0,3:4,0:0,0:1,3:3,0:0,4:1,2:5,0:1,0:1,0:1,0:1,1:2,0:0,0:0,0:0,0:0,1:2,1:1,1:2,0:0,0:0,0:1,0:0,0:0,0:0,3989
0:2,1:2,1:2,2:0,0:0,0:1,0:2,15:10,0:0,0:0,0:1,0:1,2:1,0:0,0:0,0:1,0:0,0:1,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3989
2:2,2:1,18:7,0:0,2:1,0:0,0:0,1:0,2:1,0:0,1:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,5:2,0:0,0:1,0:0,0:0,0:0,0:0,0:0,3989
3:2,0:0,1:0,3:3,1:1,4:3,0:0,0:0,2:1,0:0,0:0,1:1,1:0,0:0,0:0,8:6,0:0,0:0,17:14,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3989
0:1,28:7,2:1,2:0,5:2,0:0,1:3,5:1,2:4,0:1,1:1,0:1,1:0,0:0,0:0,0:0,0:0,1:0,0:1,0:0,0:1,0:0,0:0,0:1,0:0,0:0,3989
0:0,0:0,24:8,1:0,3:1,0:0,13:8,0:0,17:9,0:0,2:4,0:0,0:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3989
0:0,1:0,1:3,0:0,1:1,68:44,1:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:1,0:1,0:0,0:0,0:0,3989
15:11,2:1,0:1,22:8,7:2,1:0,8:6,0:1,4:1,0:2,0:0,0:1,4:5,0:0,0:1,5:3,0:0,0:1,7:4,0:0,0:0,0:1,1:1,0:0,0:0,0:0,3989
5:6,0:1,42:28,0:0,1:3,1:3,0:1,0:1,17:19,0:0,0:2,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3989
7:9,0:0,11:17,0:2,1:0,18:15,0:0,0:0,5:5,0:1,0:0,5:1,0:0,0:0,0:0,1:2,0:1,0:0,7:3,3:9,0:1,18:15,0:1,1:1,0:0,0:0,3989
21:17,0:2,1:1,7:7,3:4,15:10,2:5,1:5,4:2,3:4,0:4,6:2,0:1,0:0,0:0,0:2,0:2,1:2,14:10,7:1,0:0,1:1,0:1,0:0,0:1,0:0,3989
10:8,3:1,16:15,12:12,0:2,16:12,0:1,1:1,2:1,4:5,0:0,2:1,0:3,0:0,0:0,2:0,0:0,0:0,15:16,0:0,0:0,10:10,0:0,0:3,2:0,0:0,3989
1:0,0:0,0:1,0:0,0:0,0:0,0:1,2:1,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:1,0:0,0:2,0:0,0:0,3988
1:0,0:0,0:1,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,2:3,0:0,0:0,0:0,0:0,0:0,0:0,2:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3988
0:1,1:2,0:1,1:0,0:0,2:0,1:1,2:2,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3988
1:1,0:0,2:1,1:0,1:0,2:1,0:0,0:0,3:1,0:0,0:0,0:1,0:0,0:0,0:0,2:1,0:0,0:0,1:3,2:2,0:0,0:0,0:0,0:0,0:1,0:0,3988
1:1,5:1,1:1,0:0,1:0,0:0,1:1,8:4,0:1,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:1,0:0,0:0,0:0,0:0,0:1,0:0,3988
0:0,1:2,0:0,0:0,2:2,0:0,0:2,8:6,0:1,2:1,1:1,0:0,1:0,0:1,0:0,0:0,0:0,1:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3988
2:0,4:4,0:0,0:2,0:2,0:1,0:2,1:2,1:1,1:1,1:1,1:0,0:1,0:0,0:0,2:1,0:0,0:2,2:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3988
1:3,1:0,0:1,2:0,1:0,2:2,8:2,0:0,4:2,0:0,1:3,1:0,0:0,0:0,0:0,0:1,1:0,0:0,1:0,0:0,0:0,1:0,0:1,1:0,0:0,0:1,3988
0:0,5:5,0:1,1:1,1:2,0:1,2:2,1:0,4:1,1:1,1:2,2:1,1:0,0:0,0:0,1:0,0:0,4:2,1:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,3988
2:1,5:4,2:0,0:1,11:10,0:0,1:3,0:0,1:0,0:0,1:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,2:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,3988
1:4,1:1,0:1,1:2,0:2,0:0,3:6,19:18,3:1,0:1,1:0,0:1,1:0,0:0,1:0,0:0,0:0,1:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3988
0:0,0:0,1:7,0:0,0:0,53:31,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,0:0,3988
2:2,11:13,3:5,1:0,7:5,0:0,2:4,8:7,8:5,0:0,1:1,0:0,3:2,0:0,0:0,0:1,0:0,0:1,5:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,3988
2:1,31:11,0:0,0:3,1:1,8:1,3:3,0:0,1:0,0:1,4:4,0:1,8:6,0:0,0:0,0:3,0:0,0:0,0:4,1:4,0:0,0:0,0:0,0:0,1:0,0:0,3988
3:1,0:0,6:5,21:16,0:1,5:5,1:3,0:0,3:1,0:1,0:0,0:2,2:1,0:0,1:3,7:5,0:1,0:0,4:4,1:2,0:0,2:1,0:0,0:0,0:0,0:0,3988
8:5,9:11,4:7,5:6,13:10,14:7,14:15,13:13,8:11,3:2,1:0,4:2,12:16,0:0,1:0,6:9,3:1,1:1,9:9,19:10,0:2,0:3,33:24,0:0,1:0,0:1,3988
0:1,21:27,7:8,0:0,0:0,14:17,0:0,0:0,2:3,40:36,1:1,12:6,0:0,25:28,6:9,1:2,15:7,18:15,13:9,1:2,1:5,8:5,2:3,2:3,5:4,10:6,3988
11:19,0:0,19:12,8:13,2:7,21:30,1:2,6:7,21:18,0:0,0:0,5:3,1:1,0:0,0:0,39:35,0:0,1:1,96:65,0:0,0:0,0:1,0:1,0:0,0:0,0:0,3988
0:0,0:0,1:0,0:0,0:1,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3:3,0:0,0:0,0:0,0:0,3987
2:4,0:0,2:5,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,1:0,0:0,0:0,0:0,3987
1:0,7:8,1:0,1:0,0:0,0:0,1:3,0:0,2:1,0:1,0:1,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3987
0:0,2:0,2:0,0:0,0:0,1:0,2:2,0:2,2:1,1:0,6:2,0:0,1:3,0:0,0:0,0:0,0:0,1:0,0:1,1:1,1:0,1:0,0:1,0:1,0:0,0:0,3987
3:2,0:0,1:0,2:2,1:1,4:2,0:1,0:0,1:1,0:0,0:0,0:1,6:2,0:0,0:0,3:1,0:0,0:0,1:2,0:0,0:0,1:0,0:0,0:0,0:0,1:0,3987
1:2,0:1,0:0,0:0,2:1,0:1,8:7,3:0,0:0,1:1,0:0,0:1,0:0,0:1,3:1,1:1,0:0,0:1,3:1,0:0,0:0,0:0,0:0,1:2,0:0,0:0,3987
0:1,6:10,10:6,0:2,0:0,1:0,0:0,3:6,8:7,0:0,0:0,0:0,2:3,0:0,0:0,0:1,0:0,0:0,2:3,0:2,0:1,0:0,0:0,0:0,0:0,0:0,3987
3:3,0:0,7:4,4:3,1:2,1:5,0:0,1:0,0:2,0:0,0:0,7:4,2:1,0:0,0:0,3:2,0:0,2:1,8:10,0:0,0:0,0:0,0:0,0:0,0:0,1:0,3987
0:1,1:4,6:8,0:0,1:0,0:0,2:3,1:1,2:4,1:0,0:3,0:0,4:1,3:3,0:0,1:0,0:0,0:0,0:0,1:1,14:11,0:1,0:1,0:0,1:0,0:0,3987
0:2,0:1,27:14,1:2,0:1,3:8,0:1,0:1,3:4,0:0,0:0,1:1,0:0,0:0,0:0,2:0,0:0,0:0,5:4,0:0,2:1,0:0,0:0,0:0,0:0,0:0,3987
1:0,1:2,2:1,7:0,6:2,3:1,9:6,10:7,2:0,8:2,2:1,1:1,0:0,1:1,0:1,2:1,1:1,1:0,8:0,1:0,0:1,1:0,2:2,0:0,2:3,1:0,3987
0:0,5:4,1:1,1:0,0:0,0:1,1:1,14:16,2:0,3:2,9:8,0:1,2:0,0:0,0:1,0:0,1:1,2:2,0:0,2:2,0:0,0:0,11:5,0:3,0:0,15:13,3987
1:5,1:0,17:14,7:3,2:1,27:22,0:1,1:0,8:11,1:1,0:0,1:1,3:1,0:0,0:0,3:3,0:0,0:0,10:14,1:1,0:1,4:7,0:0,0:0,0:0,0:1,3987
3:5,1:5,1:3,3:3,2:1,0:0,52:23,8:11,2:2,10:5,20:10,0:0,11:14,0:0,0:0,1:2,0:0,2:1,0:1,0:0,0:0,0:0,2:2,0:0,0:0,0:0,3987
0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,2:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3986
4:3,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3986
1:2,1:0,1:1,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:1,0:0,0:0,0:0,1:2,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3986
0:1,1:1,1:0,0:1,0:1,0:0,0:1,1:0,0:1,0:0,1:2,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,3986
0:0,0:0,0:1,0:0,0:0,4:11,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3986
1:1,1:4,0:0,0:0,0:1,0:0,0:1,6:5,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3986
0:0,9:10,0:0,0:0,1:0,0:0,1:1,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3986
5:2,0:0,0:1,3:1,1:0,2:1,2:2,0:0,0:0,1:0,0:1,0:1,0:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3986
0:0,0:0,3:2,0:1,0:0,0:1,0:1,1:0,0:3,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,2:1,3:6,0:0,1:0,0:0,0:0,0:0,0:0,3986
6:2,1:1,2:1,0:0,1:0,1:0,3:2,1:1,1:1,0:0,1:0,0:0,0:0,0:0,0:0,2:0,0:0,1:0,2:1,0:0,1:0,1:1,0:0,0:0,0:0,0:0,3986
6:4,0:1,4:3,0:0,1:1,0:2,0:0,0:1,4:6,0:0,0:0,1:1,0:0,0:0,0:0,2:0,0:0,0:0,8:4,0:0,0:0,3:2,0:0,0:0,0:0,0:0,3986
1:1,4:5,9:4,0:0,1:1,3:3,1:2,1:1,7:4,0:0,1:1,0:0,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,0:0,3986
13:8,0:0,2:1,4:2,2:6,1:0,0:1,0:1,3:4,0:0,0:1,0:1,0:1,0:0,0:0,1:2,0:0,0:1,1:3,0:1,0:0,0:1,0:0,0:0,0:0,0:0,3986
0:0,1:2,0:1,0:0,0:2,0:0,4:4,0:1,1:2,0:1,29:19,0:0,0:1,0:0,0:0,0:0,0:0,0:1,1:0,0:0,0:0,0:0,0:0,0:1,0:0,0:1,3986
1:0,0:0,0:0,0:0,0:0,43:37,0:0,0:0,0:1,0:2,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:2,0:1,0:0,1:1,0:0,0:0,0:0,0:0,3986
8:8,0:0,10:3,4:5,7:7,33:35,0:0,0:0,0:1,5:4,0:0,3:1,0:0,0:0,0:0,0:0,0:0,0:0,5:5,12:18,0:0,3:5,0:0,0:0,0:0,0:0,3986
2:5,6:7,18:11,7:11,3:5,7:4,8:8,10:5,7:11,1:4,6:7,0:1,5:4,1:0,0:0,4:5,0:1,3:1,0:2,0:0,0:1,0:4,1:0,0:1,0:0,0:0,3986
21:14,32:22,6:13,1:3,3:5,0:0,2:7,8:9,2:3,1:0,0:1,0:1,3:5,0:2,1:0,1:1,0:1,5:5,9:3,0:0,0:1,0:2,0:0,0:0,0:0,0:0,3986
57:59,0:0,16:18,11:9,2:2,6:8,0:0,0:0,7:5,2:0,0:0,8:4,0:0,0:0,0:0,1:2,0:0,0:0,8:4,0:0,0:0,1:2,0:0,0:0,0:0,0:0,3986
0:0,0:0,5:2,3:5,0:1,11:7,1:7,0:2,85:101,1:0,6:7,0:0,0:2,0:0,0:0,0:0,0:0,0:0,1:1,6:4,0:1,3:2,5:3,0:0,0:0,0:0,3986
4:4,0:0,0:2,0:0,0:1,140:150,0:0,0:0,2:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:0,0:0,3986
0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,3985
0:0,1:2,1:2,0:0,0:2,1:1,0:0,0:1,3:5,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:1,0:1,0:0,1:0,0:0,0:1,0:0,0:0,0:0,3985
0:0,0:0,1:2,0:0,0:0,14:9,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,1:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3985
1:1,1:1,1:0,1:0,0:1,2:0,1:1,11:0,1:1,1:0,0:0,0:0,0:0,1:0,0:1,0:1,0:0,2:0,0:1,0:0,0:0,0:2,1:0,0:0,1:0,0:0,3985
4:1,0:0,5:4,1:1,1:2,4:5,2:0,0:1,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,3985
3:1,2:2,0:0,0:0,0:0,0:0,4:2,12:5,1:0,1:0,1:0,0:0,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:1,1:1,0:0,1:0,0:0,3985
0:1,2:2,1:1,2:1,0:1,5:4,3:3,1:1,0:2,2:1,1:0,0:0,0:2,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:1,1:0,0:1,0:0,0:0,0:0,3985
0:0,0:0,1:5,0:0,0:0,18:22,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,3985
0:0,2:4,6:2,1:2,4:3,0:0,11:9,4:6,5:4,0:0,0:1,0:1,6:2,0:0,0:0,1:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3985
1:0,17:14,2:1,0:0,3:4,0:0,8:6,0:0,10:5,0:0,2:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:1,0:0,3985
0:0,2:2,1:2,0:2,3:2,0:0,6:6,0:0,7:7,1:0,15:16,0:0,0:0,0:0,0:0,1:3,0:2,1:0,1:0,1:1,0:0,0:1,0:1,0:0,0:1,0:0,3985
2:2,0:0,1:1,2:0,0:1,31:28,0:0,0:0,0:1,1:0,0:1,5:0,0:0,0:0,0:2,2:3,0:1,0:0,1:1,1:0,0:1,2:6,0:1,0:2,0:0,0:0,3985
0:0,0:0,0:0,0:1,6:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3419
5:5,10:9,1:3,4:5,15:9,1:4,8:8,24:25,1:2,6:7,3:3,0:2,1:4,0:1,1:1,2:2,9:4,22:13,5:4,1:2,2:4,1:2,0:0,1:2,0:1,2:1,3985
1:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3984
0:0,1:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,1:0,0:0,6:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3984
0:0,0:0,0:0,1:2,0:0,0:1,4:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,3984
2:2,0:1,3:0,0:0,0:0,0:0,0:1,0:0,1:1,0:0,0:0,1:0,0:0,0:0,0:0,0:1,0:0,0:0,2:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3984
0:0,2:1,1:1,0:0,0:0,0:0,1:2,1:1,0:1,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3984
0:0,1:2,0:0,1:1,0:1,0:0,0:0,2:0,0:0,0:0,7:2,0:1,0:1,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,3984
2:0,0:1,0:0,1:0,0:0,0:0,0:2,1:1,1:1,1:0,0:0,0:1,1:1,0:0,0:0,1:1,0:0,3:1,1:2,0:0,0:0,0:1,0:2,0:1,0:0,0:0,3984
0:0,1:1,0:1,1:0,1:1,0:0,7:8,0:0,5:3,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,3984
2:1,2:0,0:0,4:2,0:1,0:0,1:0,5:5,0:0,3:1,0:0,0:1,2:0,0:0,0:0,1:0,0:1,1:1,1:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,3984
0:1,0:0,0:0,0:0,1:2,6:5,0:1,8:7,0:3,0:1,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3984
12:7,0:0,2:0,0:1,1:2,3:1,1:0,0:0,1:2,0:0,0:0,0:1,0:0,0:0,0:0,1:3,0:0,0:0,3:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3984
3:2,6:2,2:1,6:4,2:0,2:1,0:1,4:1,2:1,0:0,1:1,1:0,0:0,0:0,0:0,0:0,0:0,1:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3984
0:0,0:0,0:1,1:1,1:0,0:0,0:0,0:0,0:0,20:18,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,2:2,0:0,3984
1:1,2:1,2:1,2:0,0:0,3:2,1:0,2:4,1:2,5:3,1:4,0:0,1:1,0:0,0:0,0:0,0:0,1:0,0:1,0:0,1:1,0:0,0:3,0:0,1:0,0:0,3984
1:3,0:0,15:12,1:3,0:0,1:4,0:1,0:0,4:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3984
2:0,0:0,1:1,0:0,0:0,27:20,0:0,0:0,0:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,3984
19:20,0:0,2:1,1:3,0:0,0:0,0:1,0:1,1:1,0:0,0:0,0:1,0:0,0:0,0:0,3:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,3984
0:0,0:1,1:1,7:7,0:0,0:0,0:0,0:1,26:18,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,3984
0:3,1:2,3:2,4:3,0:1,9:8,1:1,0:1,0:1,0:1,0:0,0:1,0:1,0:0,0:2,7:2,0:0,0:1,7:4,3:4,0:1,1:0,0:0,0:0,0:0,0:0,3984
2:1,0:1,0:1,8:8,2:3,4:4,1:0,3:1,6:6,3:2,0:0,4:1,2:1,0:1,0:1,0:1,0:0,0:0,5:4,0:0,0:0,3:6,0:0,0:0,0:0,1:0,3984
8:9,2:1,3:4,4:4,14:4,0:1,4:4,1:1,2:6,0:2,2:1,2:0,1:1,0:0,0:0,1:1,0:0,1:1,2:3,0:0,0:0,0:0,2:1,0:0,0:0,0:0,3984
1:0,30:37,0:1,0:0,0:0,0:0,6:6,2:3,0:0,0:0,27:26,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,3984
13:3,31:25,0:0,2:4,18:9,0:0,12:8,0:0,0:1,0:0,8:8,0:0,17:10,0:0,1:1,0:0,1:0,1:1,0:0,0:0,0:1,0:0,0:5,0:0,0:1,0:0,3984
0:0,0:0,0:0,2:0,1:1,0:0,1:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,3983
0:0,0:0,0:0,0:1,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3983
1:1,0:1,1:0,0:1,0:2,1:1,1:0,1:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3983
1:1,0:0,1:0,0:1,0:1,0:1,0:0,3:3,1:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3983
1:0,0:0,7:4,0:0,1:0,3:2,0:0,0:0,5:1,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,2:2,0:0,0:0,3:2,0:0,0:0,0:0,1:0,3983
2:1,12:5,3:3,0:1,0:0,2:0,3:2,0:1,0:2,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3983
1:2,0:0,2:2,3:0,0:0,0:2,2:0,0:0,0:0,0:1,0:0,4:6,0:0,0:0,0:0,6:6,0:0,0:0,6:5,0:0,0:0,4:2,0:0,0:0,0:0,0:0,3983
4:3,0:1,28:7,1:1,1:0,0:1,0:1,0:0,6:3,0:1,0:0,1:0,1:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3983
3:2,2:3,1:2,0:0,2:1,2:2,4:6,2:3,5:5,1:0,2:0,0:0,4:3,0:0,0:0,0:0,0:0,3:1,0:2,0:0,0:1,1:0,0:0,0:0,0:0,0:0,3983
0:0,0:0,1:2,0:0,0:0,29:20,0:0,0:0,0:1,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,2:2,0:0,0:0,0:1,0:1,3983
3:2,1:1,8:2,1:4,2:1,1:0,0:0,10:15,7:8,0:0,0:0,3:2,2:1,2:1,0:0,1:2,0:0,0:1,5:3,1:0,0:1,1:1,0:0,0:1,0:0,0:0,3983
3:1,0:0,28:8,0:0,0:0,1:1,1:0,0:0,38:19,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3983
0:0,2:3,1:1,4:6,2:3,0:1,7:7,2:1,5:2,0:2,1:2,0:0,1:2,0:0,1:0,8:5,8:5,0:0,4:2,2:0,0:2,3:3,0:1,2:3,2:2,0:1,3983
14:16,0:0,2:4,0:0,0:2,29:27,0:0,0:0,3:5,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,1:2,0:0,2:3,0:0,0:0,0:0,0:0,3983
3:4,9:5,4:3,0:1,11:12,1:2,31:17,5:2,1:3,0:0,1:3,1:1,1:3,0:0,0:1,0:1,0:0,0:1,1:2,0:0,0:0,0:0,0:1,0:1,0:0,0:0,3983
2:1,5:3,0:0,8:4,1:4,0:0,14:10,8:6,6:1,0:0,3:6,0:0,46:20,0:0,2:1,0:0,0:2,11:7,0:0,0:0,14:9,2:0,1:4,0:1,0:1,0:1,3983
17:11,0:2,3:4,9:10,1:0,4:9,0:2,0:0,0:0,5:9,0:0,7:7,2:4,0:0,0:0,7:13,4:2,1:3,44:38,0:0,0:0,1:1,0:1,0:0,0:1,1:0,3983
41:37,0:0,7:4,0:1,13:20,10:11,0:1,0:2,11:4,0:2,0:1,4:5,0:0,0:0,0:0,19:14,0:0,11:4,7:6,2:4,0:0,1:3,0:0,1:2,0:0,0:0,3983
19:28,0:4,30:39,4:5,1:0,126:116,0:0,0:0,5:8,0:1,0:0,1:3,0:0,0:0,0:0,3:3,1:0,0:0,6:4,1:3,0:0,6:7,0:1,0:5,0:0,0:0,3869
0:0,0:0,0:2,0:0,1:1,0:0,1:0,0:1,1:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,3982
0:1,1:1,0:0,0:0,0:1,0:0,0:1,1:2,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3982
0:0,0:0,0:0,0:0,0:0,5:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3982
