D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,Moira,hours,rank
0:1,0:0,0:0,0:0,0:1,0:1,1:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,16:15,0:0,0:0,0:0,0:0,Updated : 30 Min. Ago,3930
3:1,1:0,0:0,2:3,0:1,0:0,0:1,11:4,0:2,0:0,0:0,1:0,0:0,0:0,0:0,0:1,0:0,0:0,3:3,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 20 Hours Ago,3930
8:3,1:3,3:2,1:3,1:1,4:1,0:1,1:0,1:0,0:1,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,4:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,3930
1:0,0:0,1:2,0:0,3:4,15:7,0:0,0:0,3:1,0:0,0:0,3:2,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,1:0,0:0,Updated : 6 Hours Ago,3930
1:2,1:2,0:0,2:1,1:0,1:0,2:2,2:1,4:3,1:2,4:3,1:0,0:0,1:0,0:0,0:0,1:0,0:1,6:1,0:0,1:0,0:1,1:0,4:1,0:0,0:0,0:0,Updated : 203 Hours Ago,3930
0:0,0:0,1:0,0:0,0:0,0:1,1:1,0:0,0:2,24:17,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 20 Hours Ago,3930
1:2,10:10,0:7,0:1,1:0,2:2,0:0,1:1,0:0,0:1,1:0,0:1,1:1,0:0,0:0,2:0,0:1,1:2,0:1,0:0,0:1,0:0,3:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,3930
0:0,6:4,0:1,0:0,0:0,0:0,3:7,6:2,0:0,0:1,11:8,0:0,0:1,0:1,0:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:2,1:0,0:0,0:0,0:0,Updated : 3 Hours Ago,3930
1:0,0:0,0:0,0:0,0:0,30:28,0:0,0:0,0:1,0:1,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,Updated : 103 Hours Ago,3930
11:6,0:0,5:6,1:1,1:1,7:10,2:0,0:0,2:6,0:0,1:0,3:0,0:0,0:0,0:0,4:1,0:0,0:0,1:1,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,3930
0:0,0:0,0:1,0:0,0:0,29:37,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,1:2,0:0,0:0,0:0,0:0,2:1,Updated : 67 Hours Ago,3930
0:2,0:1,7:3,3:1,0:0,0:0,0:0,0:1,3:8,0:0,0:0,1:0,0:2,0:0,0:0,3:3,0:0,0:1,3:3,0:0,0:0,0:0,28:12,0:0,0:0,0:1,0:0,Updated : 295 Hours Ago,3930
0:0,0:0,0:0,0:0,46:33,0:0,2:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 30 Hours Ago,3930
6:0,6:4,1:2,1:1,4:2,8:1,11:8,5:3,0:1,8:2,0:1,0:0,0:1,0:0,0:0,1:0,1:0,1:0,6:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,Updated : 23 Hours Ago,3930
5:5,2:5,13:18,2:2,0:1,5:8,2:4,0:0,6:7,0:0,0:1,3:1,4:2,0:0,0:0,1:1,0:0,0:0,1:1,0:0,2:1,1:1,0:0,0:0,0:0,0:0,0:0,Updated : 46 Hours Ago,3930
1:2,0:0,26:17,1:3,0:0,19:13,0:0,0:0,2:0,0:1,0:0,5:3,0:1,0:0,0:0,0:0,0:0,0:0,9:9,2:1,0:0,1:3,0:0,1:0,0:0,0:0,2:1,Updated : 32 Hours Ago,3930
0:0,0:1,0:1,1:0,0:1,1:1,1:2,3:3,1:0,0:0,73:35,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,1:2,0:0,0:1,0:0,0:0,Updated : 26 Hours Ago,3930
0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:1,64:49,0:0,0:0,0:0,2:1,3:2,0:0,15:17,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 19 Hours Ago,3930
10:12,8:9,6:7,3:3,5:4,4:5,19:23,18:15,9:3,3:6,8:15,2:1,2:3,1:3,1:0,1:3,0:0,3:5,2:1,2:1,0:0,0:0,4:16,1:1,1:1,0:0,2:1,Updated : 29 Hours Ago,3930
0:0,12:10,0:0,3:3,0:1,0:0,28:32,0:0,0:0,43:48,35:41,0:0,14:13,5:3,3:3,0:0,0:1,53:36,0:1,0:0,0:1,0:0,1:6,27:31,2:5,0:0,0:0,Updated : 51 Hours Ago,3930
0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,3:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,1:0,Updated : 6 Hours Ago,3929
5:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,3929
0:0,0:1,0:0,0:0,0:1,0:0,1:1,1:0,0:3,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:1,0:1,0:0,0:0,0:0,Updated : 28 Hours Ago,3929
0:1,0:0,0:0,2:3,0:1,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,2:3,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 30 Hours Ago,3929
0:1,0:0,0:0,0:0,0:1,0:0,7:2,0:0,0:0,0:0,2:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 131 Hours Ago,3929
0:2,0:0,3:3,0:1,0:0,0:0,0:1,0:0,3:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:2,0:0,0:1,0:0,0:0,0:0,Updated : 27 Hours Ago,3929
0:0,0:0,0:1,2:1,3:0,0:0,1:0,0:0,0:3,1:0,3:0,0:0,1:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,1:0,0:1,0:0,0:0,0:0,0:0,Updated : 35 Hours Ago,3929
2:0,2:3,3:1,0:1,1:0,1:0,2:0,1:1,0:1,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,1:2,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,Updated : 8 Hours Ago,3929
0:0,2:3,0:0,0:0,1:1,2:1,7:3,2:1,0:1,0:0,1:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,3929
0:1,0:1,0:0,0:0,0:1,1:0,3:2,0:3,0:1,4:3,2:2,0:2,0:1,1:2,1:0,0:1,0:0,2:1,1:0,10:5,0:2,1:1,3:6,0:1,1:0,1:0,10:5,Updated : 21 Hours Ago,3929
12:7,16:9,8:6,0:1,2:3,0:1,4:2,1:5,2:1,0:0,1:0,2:0,0:0,0:1,0:0,0:0,2:0,1:1,4:3,0:0,0:1,0:0,0:0,0:0,1:1,0:0,0:0,Updated : 17 Hours Ago,3929
2:4,0:1,1:1,24:19,1:4,5:4,0:1,2:2,0:0,2:3,0:0,4:2,0:0,0:0,1:1,5:6,0:1,0:1,6:11,0:0,0:0,5:3,1:0,0:0,0:0,0:1,0:0,Updated : 38 Hours Ago,3929
0:1,11:14,1:0,5:4,1:3,0:1,12:10,25:20,2:0,3:3,6:6,0:1,2:0,0:0,0:0,1:1,0:0,1:3,0:4,1:1,0:1,0:0,1:2,0:0,1:0,0:0,1:1,Updated : 25 Hours Ago,3929
1:4,24:21,0:1,2:0,2:3,0:1,2:1,13:14,2:2,2:3,10:8,0:0,4:4,0:0,1:1,0:1,0:1,8:6,0:0,5:8,0:0,0:0,0:2,0:0,1:0,0:0,5:8,Updated : 18 Hours Ago,3929
1:0,1:0,2:1,0:0,0:0,83:82,0:0,0:0,9:8,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:1,Updated : 2 Hours Ago,3929
0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,13:14,176:157,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 64 Hours Ago,3929
0:0,0:0,1:0,0:0,0:0,1:0,0:0,0:0,7:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,3928
0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,2:0,1:0,0:0,3:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 312 Hours Ago,3928
0:0,3:7,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 271 Hours Ago,3928
0:0,0:0,0:0,0:0,0:0,6:11,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 45 Hours Ago,3928
0:0,3:1,0:0,0:0,0:0,1:0,0:3,0:1,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:1,1:0,1:1,1:0,0:0,0:0,0:0,Updated : 10 Hours Ago,3928
0:0,0:0,1:0,0:0,0:1,16:11,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,Updated : 31 Hours Ago,3928
0:1,0:0,0:1,1:2,2:1,0:1,0:0,1:0,6:10,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,Updated : 33 Hours Ago,3928
1:0,3:2,0:0,7:3,1:0,0:0,6:5,0:0,0:2,1:0,5:2,0:0,1:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,1:1,0:0,0:0,0:0,0:0,Updated : 27 Hours Ago,3928
0:2,7:3,3:0,0:2,1:0,1:3,5:1,5:2,3:1,1:1,1:1,1:0,2:0,0:0,0:1,0:0,0:0,0:0,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 28 Hours Ago,3928
7:6,1:1,0:1,0:0,13:4,6:5,1:0,2:1,1:0,0:1,0:0,3:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 33 Hours Ago,3928
2:1,1:1,2:4,10:4,1:0,1:1,1:2,1:4,0:1,0:3,1:2,1:1,0:0,0:0,0:2,0:0,0:0,1:2,0:1,0:0,1:2,2:0,0:1,0:0,0:0,0:0,0:0,Updated : 33 Hours Ago,3928
6:10,1:3,6:2,0:2,5:1,6:6,1:2,1:4,2:1,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,2:3,0:0,0:0,1:1,0:0,0:0,1:0,0:0,0:0,Updated : 30 Min. Ago,3928
0:1,1:0,5:6,0:0,0:1,0:0,1:0,1:0,5:8,0:0,0:0,0:0,1:0,0:0,0:0,7:5,0:0,0:0,11:9,0:0,0:1,4:4,0:0,0:0,0:0,0:0,0:0,Updated : 79 Hours Ago,3928
2:0,0:0,0:0,0:0,0:1,0:1,2:7,10:6,1:1,1:0,2:0,1:0,7:7,1:0,7:4,2:1,0:0,1:0,1:0,0:0,1:1,1:0,5:7,0:1,1:0,0:0,0:0,Updated : 21 Hours Ago,3928
1:1,0:0,19:10,7:2,1:1,9:1,5:7,1:0,4:2,0:2,0:0,1:1,0:0,0:0,0:0,5:4,0:0,0:0,3:1,0:0,0:0,1:4,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3928
1:1,13:10,1:0,1:0,0:1,0:0,1:4,15:16,1:0,0:0,2:1,0:0,7:4,0:0,0:1,0:1,0:0,5:4,1:1,0:0,0:0,0:0,0:3,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,3928
53:43,0:0,2:1,1:1,0:1,0:1,0:0,0:0,0:0,0:0,0:0,2:1,1:0,0:0,0:0,1:1,0:0,0:0,3:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 49 Hours Ago,3928
0:0,19:8,4:4,2:5,3:3,2:3,18:11,4:3,1:2,0:1,5:2,0:2,2:2,0:0,0:0,3:2,0:0,1:1,1:1,0:0,1:0,2:2,3:4,2:0,0:2,0:0,0:0,Updated : 52 Hours Ago,3928
3:5,4:5,0:0,3:1,1:6,0:0,24:20,0:0,0:1,1:2,24:22,0:1,11:8,0:0,1:1,3:3,0:2,1:1,1:1,0:0,3:0,0:0,4:10,1:4,0:1,0:0,0:0,Updated : 22 Hours Ago,3928
0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:1,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 18 Hours Ago,3927
1:0,0:1,0:1,0:1,1:0,0:0,0:1,1:0,0:0,0:0,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 6 Hours Ago,3927
0:0,0:0,0:0,0:0,0:0,5:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 128 Hours Ago,3927
0:0,0:0,0:0,1:1,1:0,0:0,0:1,1:0,0:1,2:0,0:0,0:0,0:0,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 34 Hours Ago,3927
0:0,0:1,0:1,1:2,1:0,0:1,0:0,1:0,0:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,3927
0:0,1:0,0:0,0:0,1:0,0:0,9:5,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3927
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,9:7,0:0,0:0,0:0,Updated : 33 Hours Ago,3927
2:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,1:0,2:0,0:0,0:0,0:0,4:3,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,3927
1:0,0:0,0:0,0:0,0:0,2:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,11:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 35 Hours Ago,3927
3:2,0:0,1:1,1:2,0:0,4:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 31 Hours Ago,3927
0:0,0:0,0:0,1:3,0:0,0:0,1:0,0:0,0:0,6:7,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3927
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,11:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4:4,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,3927
1:0,0:0,3:2,2:2,0:1,3:2,0:1,1:1,2:3,0:0,0:0,0:0,1:2,0:0,0:0,4:2,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3927
0:1,0:0,2:2,2:3,4:2,0:0,4:3,0:0,0:2,0:0,0:0,0:0,10:3,0:0,0:2,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,Updated : 33 Hours Ago,3927
3:2,0:1,2:2,0:1,3:2,1:0,0:1,1:2,1:2,0:1,1:1,0:0,0:0,0:0,0:0,12:8,0:0,0:1,4:4,0:0,0:0,1:2,0:1,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3927
16:10,4:1,11:9,2:3,0:1,1:1,1:0,0:1,3:3,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,3927
2:5,4:3,2:0,4:2,1:1,1:3,6:7,0:1,6:4,0:0,4:3,0:2,0:0,0:0,0:0,2:0,0:0,0:0,0:1,0:0,0:0,0:0,0:2,0:2,0:0,0:0,0:0,Updated : 27 Hours Ago,3927
1:1,1:1,1:0,2:3,8:5,0:1,4:3,0:0,2:2,15:6,0:0,0:1,1:1,0:2,0:0,0:0,0:0,0:0,10:7,0:0,0:1,1:1,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,3927
1:1,2:0,0:1,3:2,2:1,14:12,3:2,9:3,1:1,1:0,0:1,1:0,3:0,0:0,0:0,1:0,0:0,1:0,3:2,0:0,0:0,2:8,1:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3927
0:0,1:1,1:1,0:0,0:0,0:0,5:3,2:3,1:2,0:1,17:15,0:0,0:1,0:0,0:0,0:1,0:9,0:0,0:0,0:0,0:0,1:0,7:9,0:0,0:5,0:0,0:0,Updated : 169 Hours Ago,3927
0:1,0:1,0:0,0:1,1:1,0:1,6:8,0:0,0:0,0:1,6:5,0:0,1:1,0:0,26:23,0:2,0:0,2:4,0:0,0:0,0:0,0:0,1:1,0:1,0:0,0:0,0:0,Updated : 25 Hours Ago,3927
1:0,5:5,0:1,1:1,0:1,0:0,7:11,11:15,0:0,7:7,2:8,1:0,2:0,0:1,1:0,0:0,1:0,1:1,0:0,0:1,0:0,0:0,2:4,0:1,0:2,0:1,0:1,Updated : 33 Hours Ago,3927
1:0,2:1,2:3,1:1,0:1,1:0,3:3,2:3,38:24,0:0,0:1,0:0,0:0,0:0,0:1,0:1,0:0,0:2,1:0,9:4,0:0,0:1,0:0,1:1,0:0,0:0,9:4,Updated : 7 Hours Ago,3927
4:3,19:15,3:2,1:0,0:1,4:3,6:10,0:2,2:1,0:3,0:2,0:0,8:4,0:0,0:0,1:1,0:3,0:1,6:3,0:1,0:0,0:0,0:1,0:1,0:0,0:0,0:1,Updated : 4 Hours Ago,3927
1:2,1:1,3:2,1:0,0:1,34:38,3:4,10:5,3:8,0:1,0:2,0:1,0:0,0:0,0:0,1:1,0:0,0:0,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,3927
14:11,1:1,27:14,4:4,7:6,19:9,1:2,1:2,5:3,30:19,1:3,4:2,0:1,0:0,0:0,2:1,0:0,0:1,3:2,2:5,0:0,1:1,1:7,2:1,0:1,0:0,2:5,Updated : 24 Hours Ago,3927
11:11,3:8,7:2,11:9,1:2,3:7,53:50,0:1,0:1,3:3,0:1,1:2,1:3,0:0,0:0,0:0,18:22,1:4,1:0,0:0,0:0,1:3,5:6,0:1,0:1,0:0,0:0,Updated : 18 Hours Ago,3927
14:14,5:14,6:4,5:3,8:6,22:17,11:19,30:20,9:9,2:5,3:6,1:1,7:8,1:3,0:1,4:1,1:2,3:4,10:9,0:0,4:3,3:7,2:1,0:1,1:0,0:2,0:0,Updated : 34 Hours Ago,3927
8:7,4:4,1:1,25:13,26:14,0:0,30:24,23:11,14:7,3:13,17:13,3:4,5:7,2:5,2:4,3:3,4:13,7:6,2:3,3:1,3:8,1:1,11:26,2:4,3:4,4:11,3:1,Updated : 22 Hours Ago,3927
0:1,1:1,0:0,1:0,0:0,0:0,0:1,1:1,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 37 Hours Ago,3926
0:0,0:0,0:0,0:0,0:1,0:0,2:0,1:2,0:0,0:0,2:3,0:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,Updated : 379 Hours Ago,3926
5:2,0:0,0:0,1:0,1:1,0:0,1:0,1:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 89 Hours Ago,3926
1:0,0:0,0:1,1:2,0:0,0:1,2:3,3:0,1:2,0:0,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 30 Hours Ago,3926
1:1,0:0,0:0,2:2,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:0,0:0,3:2,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3926
4:6,0:0,2:0,0:0,1:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3926
1:1,0:0,2:2,0:0,0:0,4:7,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 382 Hours Ago,3926
0:0,1:0,0:0,1:0,0:0,0:0,0:0,1:1,0:0,2:2,1:1,0:2,0:0,0:0,0:1,1:0,0:0,1:0,0:0,0:0,0:0,1:1,2:1,1:1,0:1,1:1,0:0,Updated : 24 Hours Ago,3926
1:0,0:2,11:4,0:1,0:0,1:0,0:0,1:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3926
0:0,0:1,0:0,1:0,1:0,0:1,0:1,0:1,0:1,0:0,6:12,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,3926
3:3,1:4,2:1,0:1,1:0,1:2,0:0,1:0,0:0,0:1,0:0,1:0,0:0,0:0,0:0,0:1,0:0,0:0,5:2,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,Updated : 38 Hours Ago,3926
0:0,0:0,1:0,0:0,0:0,0:0,2:2,21:24,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 32 Hours Ago,3926
1:1,0:0,1:1,0:2,0:1,1:5,0:0,0:0,0:1,0:0,0:0,2:1,0:0,0:0,0:0,8:5,0:0,0:0,15:6,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 37 Hours Ago,3926
1:1,5:8,0:0,0:0,1:2,0:3,2:1,7:6,0:1,1:1,3:1,0:0,2:2,0:0,1:2,0:0,0:0,1:1,1:0,0:1,0:0,1:0,0:1,0:0,0:2,0:0,0:1,Updated : 23 Hours Ago,3926
0:1,0:1,1:0,3:4,0:0,0:1,21:10,5:3,3:3,1:1,6:8,0:0,0:0,0:0,0:0,1:2,0:1,1:1,1:0,0:0,0:0,0:1,3:2,0:0,1:0,0:0,0:0,Updated : 91 Hours Ago,3926
10:16,0:0,0:1,0:0,0:0,30:15,0:0,0:0,3:3,1:7,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3926
1:1,6:3,2:1,4:6,1:0,1:2,1:2,5:4,4:3,2:0,6:3,0:0,3:0,1:0,10:5,3:2,0:0,2:1,5:1,0:0,0:0,1:0,1:2,0:2,0:1,0:0,0:0,Updated : 22 Hours Ago,3926
2:1,2:2,0:0,0:1,2:1,0:0,60:30,2:4,5:5,0:1,68:34,0:0,1:0,0:0,1:0,0:0,0:0,1:2,0:2,0:0,0:0,0:0,0:2,0:1,0:0,0:0,0:0,Updated : 6 Hours Ago,3926
11:14,0:0,13:10,3:5,0:2,90:76,0:0,0:1,5:15,2:4,0:0,1:1,0:1,0:0,0:0,1:1,0:0,0:0,5:7,0:0,0:1,3:4,0:0,0:0,0:1,0:0,0:0,Updated : 50 Hours Ago,3926
1:3,0:1,0:0,0:1,0:0,0:0,0:0,0:1,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,3925
0:1,1:1,0:0,0:0,0:1,0:1,1:2,2:1,2:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 33 Hours Ago,3925
0:0,0:0,0:1,0:0,0:0,1:0,0:1,0:0,0:1,0:2,0:0,0:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,5:3,0:0,0:0,0:0,0:0,0:1,0:0,5:3,Updated : 20 Hours Ago,3925
6:1,2:1,0:0,0:1,3:0,0:0,2:1,0:1,0:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,3925
1:1,0:0,0:0,0:0,2:1,4:0,0:0,0:0,1:0,0:0,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,6:1,0:0,0:0,0:3,0:0,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3925
1:0,1:1,1:0,0:1,1:1,0:0,1:2,3:2,0:1,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:1,0:0,1:0,0:0,0:0,0:0,Updated : 27 Hours Ago,3925
0:0,1:2,0:0,0:0,1:1,0:0,6:10,0:0,1:1,0:0,1:4,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3925
